fdc_id,description,carbs_g,calories,protein_g,fat_g
322154,"MILK, 1%",,,,0.89
322175,"MILK, 1%",,,,0.91
322184,"MILK, 1%",,,,0.96
322192,"MILK, 1%",,,,0.87
322211,"MILK, 1%",,,,1.01
322218,"MILK, 1%",,,,1.04
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",5.19,111.0,3.38,0.95
322231,"MILK, SKIM ",,,,0.06
322238,"MILK, SKIM ",,,,0.08
322245,"MILK, SKIM ",,,,0.03
322253,"MILK, SKIM ",,,,0.09
322272,"MILK, SKIM ",,,,0.07
322291,"MILK, SKIM ",,,,0.14
322310,"MILK, SKIM ",,,,0.07
322333,"MILK, SKIM ",,,,0.08
322353,"MILK, 1%",,,,0.07
322365,"MILK, SKIM ",,,,0.11
322375,"MILK, SKIM ",,,,0.05
322381,"MILK, SKIM ",,,,0.08
322384,"MILK, SKIM ",,,,0.11
322388,"MILK, SKIM ",,,,0.04
322394,"MILK, SKIM ",,,,0.1
322400,"MILK, SKIM ",,,,0.1
322406,"MILK, SKIM ",,,,0.1
322412,"MILK, SKIM ",,,,0.05
322420,"MILK, SKIM ",,,,0.08
322441,"MILK, SKIM ",,,,0.15
322452,"MILK, SKIM ",,,,0.06
322475,"MILK, SKIM ",,,,0.15
322482,"MILK, SKIM ",,,,0.18
322496,"MILK, SKIM ",,,,0.06
322516,"MILK, SKIM ",,,,0.06
322524,"MILK, SKIM ",,,,0.08
322543,"MILK, SKIM ",,,,0.06
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.89,88.5,3.43,0.08
322562,"MILK, WHOLE ",,,,3.34
322570,"MILK, WHOLE ",,,,3.15
322592,"MILK, WHOLE ",,,,3.22
322616,"MILK, WHOLE ",,,,3.03
322632,"MILK, WHOLE ",,,,3.21
322651,"MILK, WHOLE ",,,,3.18
322670,"MILK, WHOLE ",,,,3.19
322691,"MILK, WHOLE ",,,,3.13
322698,"MILK, WHOLE ",,,,3.2
322704,"MILK, WHOLE ",,,,3.25
322710,"MILK, WHOLE ",,,,3.28
322717,"MILK, WHOLE ",,,,3.41
322723,"MILK, WHOLE ",,,,3.2
322729,"MILK, WHOLE ",,,,3.21
322736,"MILK, WHOLE ",,,,3.3
322744,"MILK, WHOLE ",,,,2.58
322752,"MILK, WHOLE ",,,,2.59
322754,"MILK, WHOLE ",,,,2.59
322765,"MILK, WHOLE ",,,,3.24
322773,"MILK, WHOLE ",,,,3.22
322797,"MILK, WHOLE ",,,,3.34
322818,"MILK, WHOLE ",,,,3.24
322838,"MILK, WHOLE ",,,,3.21
322844,"MILK, WHOLE ",,,,3.21
322855,"MILK, WHOLE ",,,,3.29
322875,"MILK, WHOLE ",,,,3.2
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",4.67,156.0,3.28,3.2
322896,Hot dogs beef,,,,26.9
322906,Hot dogs beef,,,,27.3
322917,Hot dogs beef,,,,29.5
322932,Hot dogs beef,,,,27.8
322949,Hot dogs beef,,,,28.0
322962,Hot dogs beef,,,,30.6
322969,Hot dogs beef,,,,28.0
322985,Hot dogs beef,,,,27.2
323004,Hot dogs beef,,,,28.3
323021,Hot dogs beef,,,,30.0
323039,Hot dogs beef,,,,31.3
323051,Hot dogs beef,,,,26.5
323064,Hot dogs beef,,,,27.3
323081,Hot dogs beef,,,,27.0
323092,Hot dogs beef,,,,27.4
323102,Hot dogs beef,,,,25.8
323116,Hot dogs beef,,,,27.4
323121,"Frankfurter, beef, unheated",2.89,812.0,11.7,28.0
323127,Almonds dry roasted salted,,,,59.6
323134,Almonds dry roasted salted,,,,59.7
323142,Almonds dry roasted salted,,,,59.6
323152,Almonds dry roasted salted,,,,59.0
323167,Almonds dry roasted salted,,,,60.0
323186,Almonds dry roasted salted,,,,53.1
323195,Almonds dry roasted salted,,,,59.6
323210,Almonds dry roasted salted,,,,59.4
323220,Almonds dry roasted salted,,,,54.8
323238,Almonds dry roasted salted,,,,53.2
323256,Almonds dry roasted salted,,,,57.6
323271,Almonds dry roasted salted,,,,56.1
323284,Almonds dry roasted salted,,,,59.0
323294,"Nuts, almonds, dry roasted, with salt added",16.2,1605.0,20.4,57.8
323300,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",,,,11.2
323308,"CHEESE, RICOTTA, WHOLE MILK, SORRENTO",,,,8.2
323316,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",,,,11.2
323331,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",,,,11.3
323347,"CHEESE, RICOTTA, WHOLE MILK, POLLY-O",,,,11.5
323367,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",,,,11.5
323375,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",,,,12.6
323384,"CHEESE, RICOTTA, WHOLE MILK, LUCERNE",,,,11.9
323399,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",,,,10.1
323414,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",,,,11.4
323424,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",,,,11.0
323431,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",,,,11.0
323442,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",,,,10.7
323444,"Cheese, ricotta, whole milk",6.86,407.0,7.81,11.0
323448,Kale - NFY1212EC,,,,1.49
323454,Kale - NFY1212CI,,,,1.56
323461,Kale - NFY1212DW,,,,1.45
323476,Kale - NFY1212CY,,,,1.43
323493,Kale - NFY1212ES,,,,1.51
323505,"Kale, raw",4.42,91.5,2.92,1.49
323511,Whole eggs,,,,11.5
323518,Whole eggs,,,,10.1
323524,Whole eggs,,,,9.62
323531,Whole eggs,,,,10.8
323538,Whole eggs,,,,11.1
323545,Whole eggs,,,,9.79
323553,Whole eggs,,,,10.3
323559,Whole eggs,,,,10.2
323567,Whole eggs,,,,9.39
323574,Whole eggs,,,,9.57
323580,Whole eggs,,,,10.8
323587,Whole eggs,,,,10.6
323594,Whole eggs,,,,10.0
323601,Whole eggs,,,,10.3
323604,"Egg, whole, raw, frozen, pasteurized",0.91,388.5,12.3,10.3
323608,Egg whites,,,,0.1
323614,Egg whites,,,,0.13
323620,Egg whites,,,,0.15
323625,Egg whites,,,,0.19
323632,Egg whites,,,,0.12
323639,Egg whites,,,,0.15
323644,Egg whites,,,,0.15
323649,Egg whites,,,,0.16
323655,Egg whites,,,,0.14
323661,Egg whites,,,,0.1
